Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/media/jay/3c6f58c9-83ae-4551-9f99-a9e5b6f97fc5/udacity/robotics/rover/RoboND-Rover-Project/recorded_dataset/IMG/robocam_2018_02_19_13_58_12_948.jpg;0;0;1;0;103.0082;89.00452;0.0002249459;44.33659;1.010547E-07
/media/jay/3c6f58c9-83ae-4551-9f99-a9e5b6f97fc5/udacity/robotics/rover/RoboND-Rover-Project/recorded_dataset/IMG/robocam_2018_02_19_13_58_12_985.jpg;0;0;0;0;103.0082;89.00452;0.000227146;44.33659;1.009766E-07
/media/jay/3c6f58c9-83ae-4551-9f99-a9e5b6f97fc5/udacity/robotics/rover/RoboND-Rover-Project/recorded_dataset/IMG/robocam_2018_02_19_13_58_13_026.jpg;0;0;0;0;103.0082;89.00452;0.0002293047;44.33659;1.992629E-07
/media/jay/3c6f58c9-83ae-4551-9f99-a9e5b6f97fc5/udacity/robotics/rover/RoboND-Rover-Project/recorded_dataset/IMG/robocam_2018_02_19_13_58_13_067.jpg;0;0;0;0;103.0082;89.00452;0.0002313858;44.33659;2.069622E-07
/media/jay/3c6f58c9-83ae-4551-9f99-a9e5b6f97fc5/udacity/robotics/rover/RoboND-Rover-Project/recorded_dataset/IMG/robocam_2018_02_19_13_58_13_108.jpg;0;0;0;0;103.0082;89.00452;0.0002335653;44.33659;2.560631E-07
/media/jay/3c6f58c9-83ae-4551-9f99-a9e5b6f97fc5/udacity/robotics/rover/RoboND-Rover-Project/recorded_dataset/IMG/robocam_2018_02_19_13_58_13_148.jpg;0;0;0;0;103.0082;89.00452;0.0002355842;44.33659;4.112994E-07
/media/jay/3c6f58c9-83ae-4551-9f99-a9e5b6f97fc5/udacity/robotics/rover/RoboND-Rover-Project/recorded_dataset/IMG/robocam_2018_02_19_13_58_13_190.jpg;0;0;0;0;103.0082;89.00452;0.0002385763;44.33659;4.552087E-07
/media/jay/3c6f58c9-83ae-4551-9f99-a9e5b6f97fc5/udacity/robotics/rover/RoboND-Rover-Project/recorded_dataset/IMG/robocam_2018_02_19_13_58_13_230.jpg;0;0;0;0;103.0082;89.00452;0.0002403623;44.33659;3.386643E-07
/media/jay/3c6f58c9-83ae-4551-9f99-a9e5b6f97fc5/udacity/robotics/rover/RoboND-Rover-Project/recorded_dataset/IMG/robocam_2018_02_19_13_58_13_271.jpg;0;0;0;0;103.0082;89.00452;0.0002418688;44.33659;3.360262E-07
/media/jay/3c6f58c9-83ae-4551-9f99-a9e5b6f97fc5/udacity/robotics/rover/RoboND-Rover-Project/recorded_dataset/IMG/robocam_2018_02_19_13_58_13_311.jpg;-0.1910305;0;0;0;103.0082;89.00452;0.0002434957;44.32515;6.979772E-07
